group,advertiser,landing,date,spend,hvu,cphq
组1 Library,HZM,scene/031937,2026-04-05,13.95,3,4.65
组2 Tonight,HZM,scene/853762,2026-04-05,14.09,2,7.04
组1 Library,HZM,scene/031937,2026-04-06,10.04,3,3.35
组2 Tonight,HZM,scene/853762,2026-04-06,9.79,1,9.79
组3 Elevator,HNN,scene/767297,2026-04-06,12.43,2,6.21
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-06,9.78,3,3.26
组1 Library,HZM,scene/031937,2026-04-07,11.21,5,2.24
组2 Tonight,HZM,scene/853762,2026-04-07,9.94,1,9.94
组3 Elevator,HNN,scene/767297,2026-04-07,8.83,0,
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-07,3.98,2,1.99
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-07,6.04,3,2.01
组1 Library,HZM,scene/031937,2026-04-08,8.79,5,1.76
组2 Tonight,HZM,scene/853762,2026-04-08,12.55,2,6.28
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-08,0.08,0,
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-08,0.08,2,0.04
组6 冰块,HNN,scene/903553,2026-04-08,14.76,2,7.38
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-08,0.05,2,0.03
组8 山间,HNN,scene/680577,2026-04-08,10.32,2,5.16
组1 Library,HZM,scene/031937,2026-04-09,6.81,2,3.40
组2 Tonight,HZM,scene/853762,2026-04-09,15.57,5,3.11
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-09,10.68,2,5.34
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-09,13.62,4,3.40
组6 冰块,HNN,scene/903553,2026-04-09,8.82,2,4.41
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-09,9.75,1,9.75
