group,advertiser,landing,first_day,last_day,days_live,total_spend,total_hvu,total_cphq,tier
组1 Library,HZM,scene/031937,2026-04-05,2026-04-16,12,115.21,29,3.97,A
组2 Tonight,HZM,scene/853762,2026-04-05,2026-04-15,11,121.88,30,4.06,A
组3 Elevator,HNN,scene/767297,2026-04-06,2026-04-07,2,21.26,2,10.63,O
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-06,2026-05-12,37,340.76,247,1.38,S
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-07,2026-05-12,36,523.92,417,1.26,S
组6 冰块,HNN,scene/903553,2026-04-08,2026-04-15,8,68.78,10,6.88,B
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-08,2026-05-12,35,351.96,226,1.56,S
组8 山间,HNN,scene/680577,2026-04-08,2026-04-30,23,169.52,9,18.84,B
组9 金项圈,HNN,scene/578113,2026-04-09,2026-05-07,29,97.67,13,7.51,B
组10 dark fantasy,CHJ,scene/411265,2026-04-09,2026-04-12,4,34.14,3,11.38,O
组11 Lover Tonight,HZM,scene/869441,2026-04-09,2026-04-12,4,36.65,3,12.22,O
组12 浴室,HNN,scene/888321,2026-04-10,2026-04-15,6,60.81,11,5.53,O
组13 college secrecy,CHJ,scene/866241,2026-04-10,2026-04-30,21,28.0,4,7.00,B
组14 女性专栏,HNN,/multisensory/womens-sexual-health/3186-how-to-choose-right-sex-toy-for-women,2026-04-12,2026-05-04,23,23.41,3,7.80,B
组15 Power Shift,HZM,scene/922306,2026-04-13,2026-04-24,12,83.26,4,20.82,B
组16 敲门,HNN,scene/531778,2026-04-13,2026-05-09,27,51.04,4,12.76,B
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-13,2026-05-12,30,468.66,727,0.64,S
组18 红玫瑰,HNN,scene/613826,2026-04-14,2026-05-05,22,88.36,12,7.36,B
组19 Top Predator's,HZM,scene/922306,2026-04-14,2026-04-23,10,61.49,4,15.37,B
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-14,2026-05-09,26,272.41,153,1.78,S
组21 职场,HNN,/exp-app/scene/1977563229444947970,2026-04-15,2026-04-20,6,45.75,12,3.81,O
组22 Voyeurism,CHJ,/multisensory/voyeurism/735-seen-body-why-is-voyeurism,2026-04-15,2026-04-27,13,64.91,5,12.98,B
组23 工作室,HNN,/exp-app/scene/1972149814470684674,2026-04-15,2026-04-22,8,55.0,17,3.24,A
组24 Dom,CHJ,/multisensory/power-dynamics/4724-understanding-dom-and-sub,2026-04-15,2026-05-07,23,65.83,3,21.94,B
组25 强迫休息,HNN,/exp-app/scene/2013638045763465217,2026-04-16,2026-05-10,25,105.05,11,9.55,B
组26 Surrender,HZM,/exp-app/scene/2034147121168449537,2026-04-16,2026-05-09,24,81.67,12,6.81,B
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-16,2026-05-12,27,208.0,113,1.84,S
